description,department,priority
"Transportation facility needed",Education,Medium
"No first aid facility",Education,Medium
"School canteen unhygienic",Education,Medium
"Discrimination in school",Education,High
"Corporal punishment reported",Education,High
"No activity classes",Education,Low
"School infrastructure inadequate",Education,Medium
"Chain snatching in area",Public Safety / Police,High
"Police station far from locality",Public Safety / Police,Medium
"Police not patrolling at night",Public Safety / Police,High
"Domestic violence case not registered",Public Safety / Police,High
"Street crime increasing",Public Safety / Police,High
"Police response time very slow",Public Safety / Police,High
"FIR not registered by police",Public Safety / Police,High
"Drug peddling in neighborhood",Public Safety / Police,High
"Eve teasing incidents frequent",Public Safety / Police,High
"Burglary in residential area",Public Safety / Police,High
"Police personnel behavior rude",Public Safety / Police,Medium
"No women police station nearby",Public Safety / Police,Medium
"CCTV cameras not working",Public Safety / Police,High
"Gambling den operating openly",Public Safety / Police,High
"Illegal liquor sale",Public Safety / Police,High
"Prostitution racket in area",Public Safety / Police,High
"Police asking for bribe",Public Safety / Police,High
"Missing person complaint ignored",Public Safety / Police,High
"Cyber crime complaint pending",Public Safety / Police,Medium
"Road encroachment by shop",Public Safety / Police,Medium
"Noise pollution from bar",Public Safety / Police,Medium
"Illegal construction in progress",Public Safety / Police,Medium
"Traffic police harassment",Public Safety / Police,Medium
"Mob violence incident",Public Safety / Police,High
"Child labor in factory",Public Safety / Police,High
"Unauthorized loudspeaker use",Public Safety / Police,Low
"Animal cruelty case",Public Safety / Police,Medium
"Land grabbing attempt",Public Safety / Police,High
"Fake police officer impersonation",Public Safety / Police,High
"Police station understaffed",Public Safety / Police,Medium
"No emergency helpline response",Public Safety / Police,High
"Communal tension in area",Public Safety / Police,High
"Organized crime activity",Public Safety / Police,High
"Human trafficking suspected",Public Safety / Police,High
"Illegal mining activity",Public Safety / Police,High
"Forest encroachment",Public Safety / Police,Medium
"Wildlife poaching",Public Safety / Police,High
"Illegal weapon possession",Public Safety / Police,High
"Counterfeit currency circulation",Public Safety / Police,High
"Identity theft case",Public Safety / Police,High
"Water contamination at source",Water Supply,High
"Illegal bore well in neighborhood",Water Supply,Medium
"Water theft from main line",Water Supply,Medium
"Public tap always dry",Water Supply,High
"Water quality testing not done",Water Supply,Medium
"Overhead tank leaking badly",Water Supply,Medium
"Water supply timing not fixed",Water Supply,Medium
"Need water purification plant",Water Supply,High
"Rainwater harvesting not implemented",Water Supply,Low
"Water connection approval delayed",Water Supply,Medium
"Meter reading incorrect",Water Supply,Low
"Water pipeline too old",Water Supply,Medium
"No water during summer months",Water Supply,High
"Water board office not accessible",Water Supply,Low
"Tanker water quality poor",Water Supply,High
"Community tap broken",Water Supply,Medium
"Water scarcity in slum area",Water Supply,High
"Bore well dried up",Water Supply,Medium
"Water conservation awareness needed",Water Supply,Low
"Pipeline passing through private property",Water Supply,Medium
"Water connection disconnected wrongly",Water Supply,High
"Sewage water backflow",Water Supply,High
"Water charges too expensive",Water Supply,Low
"Illegal water usage by industry",Water Supply,High
"Water department corruption",Water Supply,High
"Transformer explosion risk",Electricity,High
"Power cable theft",Electricity,High
"Illegal electricity hookup",Electricity,Medium
"Electricity department rude staff",Electricity,Low
"Smart meter malfunction",Electricity,Medium
"Power restoration very slow",Electricity,High
"High tension wire too low",Electricity,High
"Electricity office always crowded",Electricity,Low
"Meter tampering by neighbor",Electricity,Medium
"Power backup generator needed",Electricity,Medium
"Electricity bill payment issue",Electricity,Medium
"Load limit exceeded frequently",Electricity,High
"Distribution box not accessible",Electricity,Medium
"Electrocution death occurred",Electricity,High
"Solar panel subsidy not given",Electricity,Low
"Power theft complaint ignored",Electricity,Medium
"Electricity connection transfer delayed",Electricity,Low
"Prepaid meter balance wrong",Electricity,Medium
"Street light maintenance poor",Electricity,Medium
"Power surge damaged electronics",Electricity,High
"Road repair quality very poor",Roads & Infrastructure,Medium
"Pothole repair needed urgently",Roads & Infrastructure,High
"Road marking completely faded",Roads & Infrastructure,Medium
"Footpath obstructed permanently",Roads & Infrastructure,Medium
"Bridge maintenance overdue",Roads & Infrastructure,High
"Road safety audit needed",Roads & Infrastructure,Medium
"Drainage system clogged",Roads & Infrastructure,High
"Road widening project stalled",Roads & Infrastructure,Medium
"Flyover leaking during rain",Roads & Infrastructure,Medium
"Bus shelter damaged",Roads & Infrastructure,Low
"Road concrete slab shifted",Roads & Infrastructure,High
"Street name board missing",Roads & Infrastructure,Low
"Cycle track encroached",Roads & Infrastructure,Low
"Road contractor using poor material",Roads & Infrastructure,High
"Subway stairs slippery",Roads & Infrastructure,High
"Road accident due to poor design",Roads & Infrastructure,High
"Waterlogging under bridge",Roads & Infrastructure,High
"Road divider plants dead",Roads & Infrastructure,Low
"Footover bridge rusted",Roads & Infrastructure,Medium
"Road dust pollution high",Roads & Infrastructure,Medium
"Junction signal coordination poor",Traffic,Medium
"Traffic violation not penalized",Traffic,Medium
"Speed gun not used",Traffic,Low
"Traffic awareness campaign needed",Traffic,Low
"Drunk driving check not done",Traffic,High
"Vehicle pollution check ignored",Traffic,Medium
"Traffic fine amount unfair",Traffic,Low
"Tow truck service unavailable",Traffic,Medium
"Traffic data not analyzed",Traffic,Low
"VIP movement causing disruption",Traffic,Medium
"Heavy vehicle ban not enforced",Traffic,Medium
"School bus safety not checked",Traffic,High
"Parking meter not working",Traffic,Low
"Traffic app information wrong",Traffic,Low
"Road closure without alternate route",Traffic,High
"Traffic volunteer program needed",Traffic,Low
"Pedestrian safety poor",Traffic,High
"Cycling infrastructure lacking",Traffic,Low
"Garbage segregation bins missing",Sanitation,Medium
"Sanitation workers no safety gear",Sanitation,High
"Garbage processing plant needed",Sanitation,Medium
"Wet waste collection irregular",Sanitation,Medium
"Dry waste not collected",Sanitation,Low
"Hazardous waste improper disposal",Sanitation,High
"Garbage contractor not performing",Sanitation,Medium
"Composting facility required",Sanitation,Low
"Beach cleanup not regular",Sanitation,Medium
"River pollution from sewage",Sanitation,High
"Landfill site overflowing",Sanitation,High
"Rag pickers creating mess",Sanitation,Medium
"Garbage truck leaking waste",Sanitation,Medium
"No penalty for littering",Sanitation,Low
"Public awareness on cleanliness needed",Sanitation,Low
"Sanitation budget insufficient",Sanitation,Medium
"Garbage collection schedule unclear",Sanitation,Low
"Incinerator not functioning",Sanitation,High
"Swachh Bharat mission not effective",Sanitation,Medium
"Waste to energy plant needed",Sanitation,Low
"Hospital OPD registration system poor",Health,Medium
"Health card not issued",Health,Medium
"Referral system not working",Health,Medium
"Medical superintendent unavailable",Health,Medium
"Health helpline not responding",Health,High
"Mobile medical unit not visiting",Health,High
"Dental clinic not operational",Health,Medium
"Eye checkup camp not held",Health,Low
"Health record digitization pending",Health,Low
"Telemedicine facility not available",Health,Medium
"Ambulance GPS tracking needed",Health,Medium
"Hospital visiting hours too short",Health,Low
"Medical college hospital overcrowded",Health,High
"Health scheme awareness lacking",Health,Low
"Geriatric care facility absent",Health,Medium
"Rehabilitation center needed",Health,Medium
"Palliative care not available",Health,Medium
"Health insurance claim rejected",Health,Medium
"Corporate hospital overcharging",Health,High
"Quack doctor practicing illegally",Health,High
"Fake medicine being sold",Health,High
"Pharmacy not maintaining stock",Health,Medium
"Medical waste burning openly",Health,High
"Hospital staff absenteeism high",Health,High
"Patient attendant facility poor",Health,Medium
"Midwife not available in village",Health,High
"Health infrastructure rural poor",Health,High
"Disease surveillance not done",Health,Medium
"Nutrition program not reaching",Health,High
"School dropout rate increasing",Education,Medium
"Adult literacy program needed",Education,Low
"School safety audit not done",Education,Medium
"CCTV not installed in school",Education,Medium
"School boundary wall incomplete",Education,Medium
"No ramp for disabled students",Education,Medium
"School election not conducted",Education,Low
"Skill development program lacking",Education,Medium
"School garden not maintained",Education,Low
"No counselor in school",Education,Medium
"School assembly area inadequate",Education,Low
"Smart classroom not functional",Education,Medium
"School magazine not published",Education,Low
"Annual day celebration cancelled",Education,Low
"Sports day not organized",Education,Low
"School excursion not allowed",Education,Low
"Parent complaints not addressed",Education,Medium
"School management committee inactive",Education,Low
"Education department unresponsive",Education,Medium
"School merger affecting students",Education,Medium
"Teacher transfer mid session",Education,Medium
"Exam center too far",Education,Medium
"Question paper leak suspected",Education,High
"Fake degree racket",Education,High
"Education loan not sanctioned",Education,Medium
"School building unsafe structure",Education,High
"Lightning arrester not installed",Education,High
"Fire safety equipment absent",Education,High
"First aid training not given",Education,Low
"School bus accident prone",Education,High
"Kidnapping attempt near school",Education,High
"Police patrol near school needed",Public Safety / Police,High
"Crime rate statistics not shared",Public Safety / Police,Low
"Police complaint tracking system poor",Public Safety / Police,Medium
"Victim compensation not received",Public Safety / Police,High
"Witness protection not provided",Public Safety / Police,High
"Police verification delayed",Public Safety / Police,Medium
"Senior citizen safety concern",Public Safety / Police,High
"Women safety helpline not working",Public Safety / Police,High
"Tourist police absent",Public Safety / Police,Medium
"Beach safety personnel missing",Public Safety / Police,Medium
"Illegal parking by police vehicles",Public Safety / Police,Low
"Police booth needs repair",Public Safety / Police,Low
"Police dog squad not available",Public Safety / Police,Low
"Bomb disposal squad far",Public Safety / Police,Medium
"Anti-terrorism measures inadequate",Public Safety / Police,High
"Border security lapse",Public Safety / Police,High
"Coastal security weak",Public Safety / Police,High
"Railway police absent",Public Safety / Police,Medium
"Highway patrol infrequent",Public Safety / Police,Medium
"Industrial area policing poor",Public Safety / Police,Medium
"Night patrol vehicle needed",Public Safety / Police,High
"Police modernization delayed",Public Safety / Police,Medium
"Forensic lab capacity low",Public Safety / Police,Medium
"Crime data analysis needed",Public Safety / Police,Low
"Community policing not implemented",Public Safety / Police,Medium
"Traffic violation e-challan system down",Traffic,Medium
"Speed breaker height excessive",Roads & Infrastructure,Medium
"Underground cable markers missing",Electricity,Low
"Water meter reading access blocked",Water Supply,Low
"Hospital parking inadequate",Health,Medium
"School attendance system faulty",Education,Low
"Police station record room disorganized",Public Safety / Police,Low
"Garbage collection app not working",Sanitation,Low
"Traffic signal timer not visible",Traffic,Medium
"Public toilet pay and use machine broken",Sanitation,Medium
"Hospital appointment system not online",Health,Medium
"School admission portal crashing",Education,Medium
"Electricity bill payment kiosk broken",Electricity,Low
"Water tanker booking system offline",Water Supply,Medium
"Road repair complaint tracking poor",Roads & Infrastructure,Low
"Street light complaint number not working",Electricity,Medium
"Pothole reported but not fixed",Roads & Infrastructure,High
"Water quality complaint ignored",Water Supply,High
"Power backup at hospital insufficient",Health,High
"School examination hall inadequate",Education,Medium
"Police control room call dropped",Public Safety / Police,High
"Garbage burning causing air pollution",Sanitation,High
"Traffic jam due to waterlogging",Traffic,High
"Hospital generator not maintained",Health,High
"School library books outdated",Education,Low
"Police station toilet not clean",Public Safety / Police,Low
"Water pipeline laying work incomplete",Water Supply,Medium
"Electricity pole numbering missing",Electricity,Low
"Road construction delay affecting business",Roads & Infrastructure,Medium
"Traffic diversion signage confusing",Traffic,Medium
"Sanitation worker safety training needed",Sanitation,Medium
"Health worker incentive not paid",Health,Medium
"School teacher training inadequate",Education,Medium
"Police welfare measures insufficient",Public Safety / Police,Low
"Water conservation drive not conducted",Water Supply,Low
"Solar street light not maintained",Electricity,Medium
"Footpath gradient too steep",Roads & Infrastructure,Medium
"Traffic fine receipt not given",Traffic,Low
"Garbage monitoring system needed",Sanitation,Low
"Hospital complaint redressal slow",Health,Medium
"School infrastructure fund misused",Education,High
"Police station accessibility poor",Public Safety / Police,Medium
"Water board meeting not public",Water Supply,Low
"Electricity safety audit overdue",Electricity,Medium
"Road safety barrier damaged",Roads & Infrastructure,High
"Traffic education in school needed",Traffic,Low
"Sanitation workers wages delayed",Sanitation,High
"Medical equipment calibration not done",Health,High
"School infrastructure committee inactive",Education,Low
"Police grievance cell not responsive",Public Safety / Police,Medium
"Drinking water quality fluctuating",Water Supply,High
"Power factor correction needed",Electricity,Medium
"Bridge load capacity sign missing",Roads & Infrastructure,Medium
"Public transport frequency low",Traffic,Medium
"Waste segregation awareness lacking",Sanitation,Low
"Hospital infection control poor",Health,High
"School uniform subsidy not given",Education,Medium
"Police recruitment process delayed",Public Safety / Police,Low
"Water distribution inequality",Water Supply,High
"Electricity theft detection weak",Electricity,Medium
"Road construction quality monitoring poor",Roads & Infrastructure,Medium
"Traffic signal maintenance contract lapsed",Traffic,Medium
"Garbage collection privatization issues",Sanitation,Medium
"Healthcare privatization affecting access",Health,High
"Education privatization concerns",Education,Medium
"Police infrastructure modernization needed",Public Safety / Police,Medium
